arm,task_id,replicate,delta_W,delta_W_train,delta_S,delta_H,delta_A,delta_W_minus_S,delta_W_minus_A,delta_S_minus_H,delta_H_minus_A,delta_RH,narrower_gap_with_substantial_A_loss
full,da-10-1,1,0.0,0.0,15.5,16.666666666666664,12.5,-15.5,-12.5,-1.1666666666666643,4.166666666666664,0.0,False
full,da-10-1,2,0.0,0.0,4.5,-1.8333333333333286,13.5,-4.5,-13.5,6.333333333333329,-15.333333333333329,-50.0,False
full,da-10-1,3,0.0,0.0,2.5,2.0,9.5,-2.5,-9.5,0.5,-7.5,-50.0,False
full,da-10-3,1,0.0,0.0,9.0,-9.999999999999993,1.5,-9.0,-1.5,18.999999999999993,-11.499999999999993,0.0,False
full,da-10-3,2,0.0,0.0,12.0,1.5,-6.5,-12.0,6.5,10.5,8.0,0.0,True
full,da-10-3,3,0.0,0.0,2.0,12.0,-11,-2.0,11.0,-10.0,23.0,0.0,True
full,da-12-2,1,0.0,0.0,2.5,-5.166666666666664,11.5,-2.5,-11.5,7.666666666666664,-16.666666666666664,0.0,False
full,da-12-2,2,-23.0,-23.0,-42.5,-37.5,6.5,19.5,-29.5,-4.9999999999999964,-44.0,0.0,False
full,da-12-2,3,0.0,0.0,0.0,0.0,-12,0.0,12.0,0.0,12.0,50.0,False
full,da-12-4,1,0.0,0.0,11.5,7.999999999999993,15,-11.5,-15.0,3.500000000000007,-7.000000000000007,0.0,False
full,da-12-4,2,0.0,0.0,21.0,28.5,35,-21.0,-35.0,-7.5,-6.5,0.0,False
full,da-12-4,3,0.0,0.0,-6.0,3.6666666666666714,-13,6.0,13.0,-9.666666666666671,16.66666666666667,0.0,False
full,da-13-1,1,0.0,0.0,8.5,5.0,3,-8.5,-3.0,3.5,2.0,0.0,False
full,da-13-1,2,0.0,0.0,4.5,8.0,3,-4.5,-3.0,-3.5,5.0,0.0,False
full,da-13-1,3,0.0,0.0,1.5,1.3333333333333357,-2.5,-1.5,2.5,0.1666666666666643,3.8333333333333357,0.0,False
full,da-13-3,1,0.0,0.0,0.0,0.0,4,0.0,-4.0,0.0,-4.0,0.0,False
full,da-13-3,2,0.0,0.0,0.0,0.0,2.5,0.0,-2.5,0.0,-2.5,0.0,False
full,da-13-3,3,0.0,0.0,0.0,0.8333333333333357,-3,0.0,3.0,-0.8333333333333357,3.8333333333333357,0.0,False
full,da-13-5,1,0.0,0.0,-7.5,-6.666666666666664,3,7.5,-3.0,-0.8333333333333357,-9.666666666666664,0.0,False
full,da-13-5,2,0.0,0.0,-2.5,-4.166666666666671,21,2.5,-21.0,1.6666666666666714,-25.16666666666667,0.0,False
full,da-13-5,3,0.0,0.0,2.5,14.166666666666664,10,-2.5,-10.0,-11.666666666666664,4.166666666666664,0.0,False
full,da-13-6,1,0.0,0.0,0.0,-1.6666666666666643,-0.5,0.0,0.5,1.6666666666666643,-1.1666666666666643,0.0,False
full,da-13-6,2,0.0,0.0,-5.0,-4.166666666666671,-2.5,5.0,2.5,-0.8333333333333286,-1.6666666666666714,0.0,False
full,da-13-6,3,0.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,-1.0,0.0,False
full,da-14-1,1,0.0,0.0,-2.5,1.1666666666666607,-27,2.5,27.0,-3.6666666666666607,28.16666666666666,-50.0,False
full,da-14-1,2,0.0,0.0,8.5,-0.1666666666666714,3,-8.5,-3.0,8.666666666666671,-3.1666666666666714,0.0,False
full,da-14-1,3,0.0,0.0,3.5,4.5,3,-3.5,-3.0,-1.0,1.5,0.0,False
full,da-14-3,1,0.0,0.0,0.0,0.0,1,0.0,-1.0,0.0,-1.0,0.0,False
full,da-14-3,2,0.0,0.0,-5.5,0.0,3,5.5,-3.0,-5.5,-3.0,0.0,False
full,da-14-3,3,0.0,0.0,0.0,0.0,2.5,0.0,-2.5,0.0,-2.5,0.0,False
full,da-14-8,1,0.0,0.0,-2.0,9.833333333333336,-12,2.0,12.0,-11.833333333333336,21.833333333333336,0.0,False
full,da-14-8,2,0.0,0.0,0.0,0.8333333333333357,2,0.0,-2.0,-0.8333333333333357,-1.1666666666666643,0.0,False
full,da-14-8,3,0.0,0.0,0.0,0.0,-5.5,0.0,5.5,0.0,5.5,-50.0,False
full,da-15-1,1,-23.0,-23.0,-8.0,0.6666666666666714,32,-15.0,-55.0,-8.666666666666671,-31.33333333333333,0.0,False
full,da-15-1,2,-23.0,-23.0,-20.5,-15.166666666666671,11,-2.5,-34.0,-5.333333333333329,-26.16666666666667,0.0,False
full,da-15-1,3,0.0,0.0,0.0,-0.8333333333333286,1.5,0.0,-1.5,0.8333333333333286,-2.3333333333333286,-100.0,False
full,da-15-2,1,-27.0,-27.0,-3.0,21.833333333333332,9.5,-24.0,-36.5,-24.833333333333332,12.333333333333332,-100.0,False
full,da-15-2,2,-10.0,-10.0,-7.0,-2.0,15,-3.0,-25.0,-5.0,-17.0,0.0,False
full,da-15-2,3,0.0,0.0,-8.0,-10.333333333333332,-18.5,8.0,18.5,2.333333333333332,8.166666666666668,0.0,False
full,da-15-7,1,33.0,33.0,7.5,2.5,2,25.5,31.0,5.0,0.5,50.0,False
full,da-15-7,2,10.0,10.0,10.0,15.166666666666668,-5.5,0.0,15.5,-5.166666666666668,20.666666666666668,0.0,False
full,da-15-7,3,-13.0,-13.0,-10.0,3.3333333333333357,20,-3.0,-33.0,-13.333333333333336,-16.666666666666664,100.0,False
full,da-15-8,1,0.0,0.0,-5.0,-5.833333333333329,-7,5.0,7.0,0.8333333333333286,1.1666666666666714,0.0,False
full,da-15-8,2,-7.0,-7.0,-10.0,-7.833333333333329,33.5,3.0,-40.5,-2.1666666666666714,-41.33333333333333,-100.0,False
full,da-15-8,3,0.0,0.0,0.0,-5.833333333333329,2.5,0.0,-2.5,5.833333333333329,-8.333333333333329,0.0,False
full,da-16-1,1,0.0,0.0,12.0,7.166666666666664,11,-12.0,-11.0,4.833333333333336,-3.8333333333333357,0.0,False
full,da-16-1,2,0.0,0.0,8.0,10.666666666666664,1.5,-8.0,-1.5,-2.6666666666666643,9.166666666666664,0.0,False
full,da-16-1,3,0.0,0.0,8.0,7.166666666666664,1.5,-8.0,-1.5,0.8333333333333357,5.666666666666664,0.0,False
full,da-18-5,1,0.0,0.0,0.0,3.3333333333333357,26.5,0.0,-26.5,-3.3333333333333357,-23.166666666666664,-100.0,False
full,da-18-5,2,0.0,0.0,4.0,-2.999999999999993,-2,-4.0,2.0,6.999999999999993,-0.9999999999999929,0.0,False
full,da-18-5,3,0.0,0.0,0.0,-1.6666666666666643,21.5,0.0,-21.5,1.6666666666666643,-23.166666666666664,0.0,False
full,da-18-7,1,0.0,0.0,-4.0,-4.0,4.5,4.0,-4.5,0.0,-8.5,0.0,False
full,da-18-7,2,0.0,0.0,-1.5,2.5,-13.5,1.5,13.5,-4.0,16.0,0.0,False
full,da-18-7,3,0.0,0.0,-2.5,-2.5,18,2.5,-18.0,0.0,-20.5,0.0,False
full,da-19-1,1,0.0,0.0,-4.0,-4.0,-4,4.0,4.0,0.0,0.0,0.0,False
full,da-19-1,2,0.0,0.0,-2.5,-2.5,0,2.5,0.0,0.0,-2.5,0.0,False
full,da-19-1,3,0.0,0.0,4.0,3.3333333333333357,5.5,-4.0,-5.5,0.6666666666666643,-2.1666666666666643,0.0,False
full,da-19-6,1,5.0,5.0,21.5,6.333333333333329,-13,-16.5,18.0,15.166666666666671,19.33333333333333,0.0,True
full,da-19-6,2,0.0,0.0,-2.0,-3.8333333333333286,-14.5,2.0,14.5,1.8333333333333286,10.666666666666671,0.0,False
full,da-19-6,3,25.0,25.0,19.0,24.333333333333336,11,6.0,14.0,-5.333333333333336,13.333333333333336,0.0,False
user,da-10-1,1,6.0,6.0,3.0,5.333333333333336,-2,3.0,8.0,-2.3333333333333357,7.333333333333336,0.0,False
user,da-10-1,2,0.0,0.0,18.5,10.833333333333329,20,-18.5,-20.0,7.666666666666671,-9.166666666666671,0.0,False
user,da-10-1,3,9.0,9.0,5.0,21.0,29,4.0,-20.0,-16.0,-8.0,0.0,False
user,da-10-3,1,0.0,0.0,11.0,10.166666666666671,3,-11.0,-3.0,0.8333333333333286,7.166666666666671,0.0,False
user,da-10-3,2,10.0,10.0,-1.0,2.8333333333333357,22.5,11.0,-12.5,-3.8333333333333357,-19.666666666666664,0.0,False
user,da-10-3,3,0.0,0.0,0.0,0.0,34,0.0,-34.0,0.0,-34.0,0.0,False
user,da-12-2,1,25.0,25.0,61.0,52.66666666666667,25.5,-36.0,-0.5,8.333333333333332,27.166666666666668,0.0,False
user,da-12-2,2,30.0,30.0,15.0,3.6666666666666643,-16,15.0,46.0,11.333333333333336,19.666666666666664,0.0,False
user,da-12-2,3,0.0,0.0,2.5,-0.8333333333333286,-11.5,-2.5,11.5,3.3333333333333286,10.666666666666671,-100.0,True
user,da-12-4,1,5.0,5.0,0.0,0.0,4.5,5.0,0.5,0.0,-4.5,50.0,False
user,da-12-4,2,5.0,5.0,0.0,0.0,5,5.0,0.0,0.0,-5.0,0.0,False
user,da-12-4,3,19.0,19.0,14.0,15.5,-2.5,5.0,21.5,-1.5,18.0,-50.0,False
user,da-13-1,1,0.0,0.0,9.0,3.5,7,-9.0,-7.0,5.5,-3.5,0.0,False
user,da-13-1,2,-9.0,-9.0,-13.0,-12.666666666666664,19,4.0,-28.0,-0.3333333333333357,-31.666666666666664,-50.0,False
user,da-13-1,3,9.0,9.0,-2.5,9.0,-6.5,11.5,15.5,-11.5,15.5,0.0,False
user,da-13-3,1,0.0,0.0,0.0,0.0,-4,0.0,4.0,0.0,4.0,0.0,False
user,da-13-3,2,0.0,0.0,-7.0,-11.666666666666664,-2.5,7.0,2.5,4.666666666666664,-9.166666666666664,0.0,False
user,da-13-3,3,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,0.0,0.5,0.0,False
user,da-13-5,1,0.0,0.0,-10.0,-1.6666666666666643,-15,10.0,15.0,-8.333333333333336,13.333333333333336,0.0,False
user,da-13-5,2,10.0,10.0,7.5,6.666666666666664,15.5,2.5,-5.5,0.8333333333333357,-8.833333333333336,0.0,False
user,da-13-5,3,0.0,0.0,7.5,-0.8333333333333286,-13,-7.5,13.0,8.333333333333329,12.166666666666671,0.0,True
user,da-13-6,1,0.0,0.0,-5.0,5.0,4.5,5.0,-4.5,-10.0,0.5,0.0,False
user,da-13-6,2,0.0,0.0,-2.5,-21.666666666666668,-8,2.5,8.0,19.166666666666668,-13.666666666666668,0.0,False
user,da-13-6,3,-20.0,-20.0,-40.0,-33.33333333333333,-19,20.0,-1.0,-6.666666666666668,-14.333333333333332,0.0,True
user,da-14-1,1,0.0,0.0,17.0,10.833333333333336,-2,-17.0,2.0,6.166666666666664,12.833333333333336,0.0,False
user,da-14-1,2,0.0,0.0,-7.5,-9.333333333333336,-2.5,7.5,2.5,1.8333333333333357,-6.833333333333336,0.0,False
user,da-14-1,3,0.0,0.0,17.5,15.5,0.5,-17.5,-0.5,2.0,15.0,0.0,False
user,da-14-3,1,0.0,0.0,5.5,-1.8333333333333357,-8,-5.5,8.0,7.333333333333336,6.166666666666664,0.0,True
user,da-14-3,2,0.0,0.0,-5.5,-3.8333333333333357,1,5.5,-1.0,-1.6666666666666643,-4.833333333333336,0.0,False
user,da-14-3,3,0.0,0.0,0.0,-1.8333333333333357,1.5,0.0,-1.5,1.8333333333333357,-3.3333333333333357,0.0,False
user,da-14-8,1,0.0,0.0,5.5,-0.8333333333333357,25.5,-5.5,-25.5,6.333333333333336,-26.333333333333336,-50.0,False
user,da-14-8,2,10.0,10.0,2.5,-9.166666666666664,-6,7.5,16.0,11.666666666666664,-3.1666666666666643,-50.0,False
user,da-14-8,3,-24.0,-24.0,-36.5,-20.833333333333332,-31,12.5,7.0,-15.666666666666668,10.166666666666668,0.0,False
user,da-15-1,1,23.0,23.0,-2.5,2.6666666666666643,12,25.5,11.0,-5.166666666666664,-9.333333333333336,-50.0,False
user,da-15-1,2,10.0,10.0,26.0,22.833333333333332,40,-16.0,-30.0,3.166666666666668,-17.166666666666668,-50.0,False
user,da-15-1,3,0.0,0.0,-60.0,-43.66666666666667,-35,60.0,35.0,-16.333333333333332,-8.666666666666668,-100.0,False
user,da-15-2,1,10.0,10.0,5.0,14.833333333333329,4.5,5.0,5.5,-9.833333333333329,10.333333333333329,0.0,False
user,da-15-2,2,-10.0,-10.0,0.0,-1.6666666666666643,-4,-10.0,-6.0,1.6666666666666643,2.3333333333333357,0.0,False
user,da-15-2,3,-10.0,-15.0,-31.0,-15.333333333333336,15.5,21.0,-25.5,-15.666666666666664,-30.833333333333336,-100.0,False
user,da-15-7,1,-10.0,-10.0,5.0,0.0,33.5,-15.0,-43.5,5.0,-33.5,-50.0,False
